Identifier;Responsible partner;"Competency Question /
 Natural language sentence (fact)";Answer (For Competency Questions);Status (Proposed, Accepted, Rejected, Deprecated);Comments (optional);Extracted from (provenance);"Priority 
(High, Medium, Low) (optional)";Relation with other requirements (optional);Associated ontology elements;Relation to ontology elements in other domains;;;;;;;;;;;;;;;;;;
miUrba1;UPM;Una comunidad de vecinos pertenece a uno o más edificios;;Proposed;;Documento requisitos Rastreator;;;;;;;;;;;;;;;;;;;;;;
miUrba2;UPM;Un edificio tiene asociado una dirección postal;;Proposed;;Documento requisitos Rastreator;;;;;;;;;;;;;;;;;;;;;;
miUrba3;UPM;Un edificio pertenece a un barrio, a un distrito, y a un municipio.;;Proposed;;Documento requisitos Rastreator;;;;;;;;;;;;;;;;;;;;;;
miUrba4;UPM;Una comunidad de vecinos tiene una serie de instalaciones comunes;;Proposed;;Documento requisitos Rastreator;;;;;;;;;;;;;;;;;;;;;;
miUrba5;UPM;Una comunidad de vecinos tiene contratados una serie de servicios;;Proposed;;Documento requisitos Rastreator;;;;;;;;;;;;;;;;;;;;;;
miUrba6;UPM;Una estructura comunitaria puede estar compuesta por uno o varios edificios;;Proposed;;Documento requisitos Rastreator;;;;;;;;;;;;;;;;;;;;;;
miUrba7;UPM;Un edificio está compuesto por un número de inmuebles;;Proposed;;Documento requisitos Rastreator;;;;;;;;;;;;;;;;;;;;;;
miUrba8;UPM;Un edificio tiene un número de plantas;;Proposed;;Documento requisitos Rastreator;;;;;;;;;;;;;;;;;;;;;;
miUrba9;UPM;Un edificio puede tener o no un ascensor;;Proposed;;;;;;;;;;;;;;;;;;;;;;;;
miUrba10;UPM;Un edificio tiene una fecha de construcción y de reforma asociado;;Proposed;Indicamos la fecha para los edificios? Para los inmuebles?;;;;;;;;;;;;;;;;;;;;;;;
miUrba11;UPM;Cada edificio tiene asociado un tipo de calefacción;;Proposed;;;;;;;;;;;;;;;;;;;;;;;;
miUrba12;UPM;Cada edificio tiene asociado un sistema de agua caliente sanitaria;;Proposed;;;;;;;;;;;;;;;;;;;;;;;;
miUrba13;UPM;;;Proposed;;;;;;;;;;;;;;;;;;;;;;;;
miUrba14;UPM;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
